이름	설명	타입	값	단위	산출방식	비고
Stair_Transition_Sec	계단 변화 시간	float	1.25	초	확정값	차단판 페이드 아웃
Stair_Rise_Per_Step	계단 한 칸 상승	float	40	uu	확정값	Max Step Height 45 제약
Stair_Run_Per_Step	계단 한 칸 진행	float	109	uu	확정값	
Stair_Slope	계단 경사	float	20.2	도	atan(40/109)	전 계단 공통
StairA_Steps	상부 계단 칸수	int	11	칸	확정값	총 400uu 하강
StairB_Steps	메인 하강 계단 칸수	int	19	칸	확정값	총 720uu 하강. 180도 꺾임 폐기 후 직선
StairD_Steps	Candidate2 하강 계단 칸수	int	15	칸	확정값	총 560uu 하강
[힌트 / 최종보스 퍼즐]						
Hint_Color_Count	힌트 색 개수	int	3	개	확정값	현재값. 5개 이상 필요 (아래 참조)
Hint_Answer	정답 순서	string	Blue-Red-Green	-	확정값	
Puzzle_Input_Steps	입력 단계 수	int	3	단계	확정값	
Pad_Radius	입력 패드 인식 반경	float	220	uu	확정값	
Pad_To_Door_dist	입력장치 → 보스문 거리	float	475	uu	패드 X5375 → 문 X5850	
Wrong_Enemy_Count	오답 시 등장 몬스터 수	int	3	마리	확정값	스폰 지점당 1마리
Wrong_Enemy_Speed	오답 몬스터 이동속도	float	410	uu/s	확정값	다리 몬스터와 통일
Wrong_Enemy_HP	오답 몬스터 체력	float	34	-	확정값	
Wrong_Enemy_Damage	오답 몬스터 공격력	float	10	-	확정값	
Wrong_Spawn_dist_Min	입력장치 → 최근접 스폰 거리	float	2401	uu	좌표 계산	(3000, 500)
Wrong_Spawn_dist_Max	입력장치 → 최원거리 스폰 거리	float	2892	uu	좌표 계산	(3000, -1500)
Wrong_Arrival_Sec_Min	최근접 몬스터 도착 시간	float	5.9	초	2401 / 410	
Wrong_Arrival_Sec_Max	최원거리 몬스터 도착 시간	float	7.1	초	2892 / 410	
Wrong_FirstContact_Sec	오답 → 첫 피격	float	3.95	초	PIE 실측	플레이어가 몬스터 쪽으로 이동한 값
Wrong_Retry_Sec	오답 → 재입력 가능 (오답 기믹 처벌)	float	5.32	초	PIE 실측	오답 1회로 발생하는 순수 처벌. 색 개수 산정은 이 값 기준
Wrong_Hardlock_Limit	오답 전투 강제 해제 시간	float	60	초	확정값	도달 불가 몬스터로 인한 하드락 방지
FinalDoor_Open_Duration	최종보스 문 개방 시간	float	1.0	초	확정값	
[전체 플레이 - PIE 실측]						
Run_A_Time	A 정답 경로 총 시간	float	44.52	초	PIE 실측	힌트 확인 후 1회 정답
Run_A_Dist	A 정답 경로 총 이동거리	float	18333	uu	PIE 실측	
Run_B_Time	B 오답 복구 경로 총 시간	float	57.04	초	PIE 실측	오답 1회 발생
Run_B_Dist	B 오답 복구 경로 총 이동거리	float	21579	uu	PIE 실측	
Run_C_Time	C 레버 복구 경로 총 시간	float	64.08	초	PIE 실측	다리 복구 후 힌트 재확인
Run_C_Dist	C 레버 복구 경로 총 이동거리	float	29894	uu	PIE 실측	
Run_B_Extra_Time	B 경로 전체 추가 비용	float	12.52	초	B - A	오답 처벌만이 아님. 전투 6.01 + 정보 미인지로 헤맨 이동 5.76 + 재입력 0.47 의 합
Run_C_Extra_Time	C 경로 전체 추가 비용	float	19.56	초	C - A	레버 왕복 이동 비용. 오답 처벌과 직접 비교하지 말 것
Run_C_Extra_Dist	레버 복구 추가 이동거리	float	11561	uu	C - A	공간 거리를 실패 비용으로 사용한 사례
Wrong_Search_Sec	정보 미인지로 헤맨 이동 시간	float	5.76	초	B 이동 15.56 - A 이동 9.80	오답 기믹과 무관. 정보를 모른다는 사실 자체의 비용. A 이동값이 역산이라 불확실
Lower_Travel_A	A 계단 → 첫 입력 이동	float	9.80	초	A 하층 13.84 - 입력구간 4.04	역산값. 첫 입력 마일스톤 없음
Lower_Travel_B	B 계단 → 첫 입력 이동	float	15.56	초	PIE 실측	WRONG ANSWER #1 마일스톤 = 첫 패드 입력
Lower_Section_A	A 하층 구간 시간	float	16.79	초	PIE 실측	계단 하강 → END
Lower_Section_B	B 하층 구간 시간	float	29.26	초	PIE 실측	
Lower_Section_C	C 하층 구간 시간	float	37.56	초	PIE 실측	
[공간 치수]						
Space_Cand1_Size	최종보스 구역 크기	string	3000 x 2525	uu	좌표 계산	거리를 실패 비용으로 쓰는 공간
Space_Cand2_Size	힌트 구역 크기	string	1350 x 1330	uu	좌표 계산	
Space_Corridor_Width	하층 통로 폭	float	690	uu	좌표 계산	두 방 사이 순 간격
Space_Bridge_Width	다리 폭	float	800	uu	좌표 계산	
Space_MidBossDoor_Front	중간보스 문 앞 공간	string	700 x 600	uu	좌표 계산	홀드 중 회피 여유가 거의 없는 크기
Height_Bridge_to_Lower	다리 상판 → 하층 통로 높이차	float	1200	uu	Z 240 → -960	
Height_Bridge_to_Cand2	다리 상판 → 힌트 구역 높이차	float	1800	uu	Z 240 → -1560	하층에서 색 블럭이 시야에 안 들어오는 근거
Height_Lower_to_Cand2	하층 통로 → 힌트 구역 높이차	float	600	uu	Z -960 → -1560	
